Airline,Stock Symbol,Date,Open,High,Low,Close,Volume,Adj Close
Virgin America,VA,2/24/15,36.75,36.988998,35.860001,36.470001,1219900,36.470001
Virgin America,VA,2/23/15,35.939999,37.450001,35.880001,37.43,1744200,37.43
Virgin America,VA,2/20/15,35.779999,36.380001,35.349998,36.099998,1102100,36.099998
Virgin America,VA,2/19/15,36.740002,36.900002,35.68,35.869999,1908900,35.869999
Virgin America,VA,2/18/15,36.779999,37.82,35,35.709999,4523800,35.709999
Virgin America,VA,2/17/15,34.799999,35.099998,33.959999,34.220001,1716600,34.220001
United,UAL,2/24/15,67.949997,71.379997,67.269997,70.889999,5185600,70.889999
United,UAL,2/23/15,69.029999,69.830002,67.980003,68.839996,5117000,68.839996
United,UAL,2/20/15,66.089996,68.279999,65.519997,68.010002,4697100,68.010002
United,UAL,2/19/15,68.449997,68.919998,66.040001,66.089996,4806200,66.089996
United,UAL,2/18/15,65.900002,66.739998,64.5,66.720001,4449300,66.720001
United,UAL,2/17/15,66.5,67.43,64.720001,64.93,4447300,64.93
Southwest,LUV,2/24/15,44.380001,45.360001,44.040001,45.349998,6998700,44.734731
Southwest,LUV,2/23/15,45.110001,45.490002,44.279999,44.689999,7303100,44.083685
Southwest,LUV,2/20/15,43.650002,44.950001,43.400002,44.779999,7117200,44.172465
Southwest,LUV,2/19/15,44.919998,44.970001,43.700001,43.759998,7535500,43.166302
Southwest,LUV,2/18/15,42.939999,43.68,42.23,43.549999,8271400,42.959152
Southwest,LUV,2/17/15,43.459999,43.599998,42.549999,42.59,8818100,42.012178
Delta,DAL,2/24/15,46.900002,48.27,46.400002,48.029999,12044300,46.88705
Delta,DAL,2/23/15,47.970001,48.27,46.860001,47.189999,12104600,46.067039
Delta,DAL,2/20/15,45.73,47.48,45.509998,47.439999,13624800,46.31109
Delta,DAL,2/19/15,46.860001,47.389999,45.84,45.919998,14676200,44.82726
Delta,DAL,2/18/15,45.150002,45.450001,44.650002,45.27,9889600,44.19273
Delta,DAL,2/17/15,44.779999,45.32,44.619999,44.759998,12153500,43.607005
American,AAL,2/24/15,50.290001,51.560001,49.360001,51.52,13916700,50.618432
American,AAL,2/23/15,51.75,52.200001,50.950001,51.310001,9508700,50.412108
American,AAL,2/20/15,49.810001,51.119999,49.130001,51.02,10537900,50.127182
American,AAL,2/19/15,50.779999,50.799999,49.59,49.779999,11462600,48.908879
American,AAL,2/18/15,48.599998,49.450001,48.18,49.310001,8752700,48.447107
American,AAL,2/17/15,48.77,49.450001,47.860001,48.009998,7260500,47.169853
