Date,Author,Predicted Sentiment,Observed Sentiment,Text
Tue Nov 22 23:59:35 +0000 2016,James F. Ruffer III,,,We usually fly @Delta but had to go @AmericanAir and remember why. They forgot to clean before flight mem to clt https://t.co/tLuNElla9h
Tue Nov 22 23:57:24 +0000 2016,Stevie Lewis,,,@AmericanAir woulyou please help to confirm that my out trip from lax to London is a business class ticket. https://t.co/IIVvqDGujt
Tue Nov 22 23:57:22 +0000 2016,OITW,,,@AmericanAir really rude and horrible gate crew for flight PHL to BOS
Tue Nov 22 23:55:37 +0000 2016,JeremyBeardsley,,,@AmericanAir just because its policy doesn't make it any less of a silly cash grab. We bought adult ticket for a funeral and are now stuck
Tue Nov 22 23:55:34 +0000 2016,Joshua Owen,,,This is disgusting @AmericanAir and I hope an investigation takes place as to why this happened. https://t.co/0XKEQR6OS2
,,,,
Wed Nov 23 23:58:15 +0000 2016,TypeOfGraphic,,,"Well, the @AmericanAir bag check-in #UX is awful. No clear instructions, confusing queues, staff a little rude if you offer feedback"
Wed Nov 23 23:58:12 +0000 2016,Rebecca Wilson,,,"Win! A weekend in NYC from @fathomwaytogo 
@henribendel @wellandgoodnyc @savoteurco @AmericanAir @Loews_Regency
 https://t.co/p2wGHBCx3I"
Wed Nov 23 23:57:59 +0000 2016,Alex George,,,@AmericanAir thank god I switched flights! Plane still sitting on the ground now goin on a 4 hour delay! Thanks for nothin!
Wed Nov 23 23:57:30 +0000 2016,Samantha Mueller,,,@AmericanAir honestly that's what I've been doing for the past four and a half hours
,,,,
Thu Nov 24 23:51:36 +0000 2016,Mahmoud Abulhassan,,,@AmericanAir happy Thanksgiving!
Thu Nov 24 23:44:33 +0000 2016,Lance Gobaira,,,@AmericanAir just got me home 1 hour early  PHL-MIA! Thanks for being AAwesome _Ÿ˜Ž
Thu Nov 24 23:35:54 +0000 2016,Julia Arciga,,,"@AmericanAir I can't check-in online, every time I try it brings me to an error page!"
Thu Nov 24 23:34:45 +0000 2016,Richard Thompson,,,Always fun to be met by airport fire services on landing. Thanks @AmericanAir for putting us on a plane without working flaps.  #AA1089
Thu Nov 24 23:30:05 +0000 2016,Jason Palmer,,,"@AmericanAir hey there,  We've now been told that because we were not first class there is no accommodation for us. I'm diabetic.  Thanks!!!"
,,,,
Fri Nov 25 23:59:21 +0000 2016,Dan Gainor,,,@TheBlazeHotList Just don't fly @AmericanAir if you want to get there or back.
Fri Nov 25 23:59:10 +0000 2016,Dawn G,,,@AmericanAir after travelling 24 hrs only to be harrassed by employee Eugene Elysee at the gate is a big problem. Will not choose AA again
Fri Nov 25 23:55:53 +0000 2016,Kevin Torres-Cuautli,,,@AirlineFlyer @AmericanAir They just won't change the tenderloin and oxtail ravioli. Dear God.
Fri Nov 25 23:55:22 +0000 2016,Michael Duda,,,@AmericanAir Recieved an offer to upgrade family of 5 to first class. Then it disappeared? Confirm #KHQMYK. Thanks.
Fri Nov 25 23:51:32 +0000 2016,John Scott Lewinski,,,". @AmericanAir 45 min for bags to unload at a dead MKE on a big travel wknd. Did someone on your baggage crew die?! ""Going for awful!"""
,,,,
Sat Nov 26 23:59:54 +0000 2016,DFW Tower.com,,,"Photo of N494AA, an @AmericanAir Super 80 seen at #DFW eight years ago. #avgeek #airlines https://t.co/K3ckCjrVJF"
Sat Nov 26 23:59:35 +0000 2016,Paul's Letters _Ÿ“Ž,,,@AmericanAir They could see our connection was on time and that we had to sprint across two terminals. But they gave away our seats!
Sat Nov 26 23:58:26 +0000 2016,ChrisNH,,,"Why doesn't @AmericanAir use their A321 BOS-LAX instead of the 737? Bigger, nicer plane and 'others' now using it."
Sat Nov 26 23:56:49 +0000 2016,‰œ¬A Jermaine‰œ¬,,,@AmericanAir **Indeed!**
Sat Nov 26 23:55:50 +0000 2016,CMA,,,@AmericanAir just landed and taxiing. Any chance 1371 will be held for 5 mins? We will run... but gotta get from A to C
