Date,Author,Predicted Sentiment,Observed Sentiment,Text
Tue Nov 22 23:59:37 +0000 2016,thaWorldCitizen,,,Happy Anniversary @BiscoffCookies @Delta what a sweet partnership! #30SweetYears #contest https://t.co/VnEGeuewm9
Tue Nov 22 23:59:35 +0000 2016,James F. Ruffer III,,,We usually fly @Delta but had to go @AmericanAir and remember why. They forgot to clean before flight mem to clt https://t.co/tLuNElla9h
Tue Nov 22 23:59:11 +0000 2016,Drake Basketball,,,Appreciate @Delta making us feel at home with the Drake blue lighting on our 757 to Anchorage https://t.co/2IJTKOzlOB
Tue Nov 22 23:58:36 +0000 2016,sharg22763willchecku,,,@towandabraxton @Delta. Make dude pay!
Tue Nov 22 23:57:45 +0000 2016,Curt Campbell,,,@Delta I have. Nothing they can do. Many seats w/o power. Would think Delta would take care of D1. _üò®
,,,,
Wed Nov 23 23:59:41 +0000 2016,Stuart Gietel-Basten,,,@AndrewNoymer @Delta @philipbstark Polysorbate 60. Nice. https://t.co/4m79AqoP2j
Wed Nov 23 23:56:06 +0000 2016,Larry Hafford,,,@DeltaAssist  @Delta what's the deal with DL1641? We're up to a 107 min delay now. This bar tab keeps rising too. #pickupthetab
Wed Nov 23 23:55:59 +0000 2016,Stuart Gietel-Basten,,,@AndrewNoymer @Delta @philipbstark but look at their address. It must be ok. Like I live at '2543 Paradigm Shift Drive'
Wed Nov 23 23:55:33 +0000 2016,à¨óà©Åà¨°à¨áà©°à¨_à¨°,,,Ready do fly home from @flyLAXairport to @FlySJC to see the family for the #Thanksgiving weekend @Delta #LAXtoSJCâÄ_ https://t.co/KDXJCW14Di
Wed Nov 23 23:54:33 +0000 2016,Katie Wiggins,,,@Delta really wish you would kick me off my flight and offer me a voucher
,,,,
Thu Nov 24 23:59:45 +0000 2016,Ana Klimchy,,,"@Delta, thank you for the free upgrade to comfort+ on my flight yesterday! I really appreciated it!"
Thu Nov 24 23:58:59 +0000 2016,Rob Costello,,,@Delta you know I will! All the way to NYC! #DeltaOne
Thu Nov 24 23:58:53 +0000 2016,Christian W,,,@Delta flying out tomorrow on DL 1563 MSP-ATL and was wondering if its oversold?
Thu Nov 24 23:58:03 +0000 2016,Sean Driscoll,,,@CheckerBDMafia @ron_fournier @Delta the are in all sky clubs!
Thu Nov 24 23:55:33 +0000 2016,Dakota McNicol,,,@BrandiYazzie @Delta I need to plan cabo 2k17 rn
,,,,
Fri Nov 25 23:59:55 +0000 2016,jaolsa,,,@yashar @Delta And he wasn't kicked off the plane. WTH is wrong with Delta.
Fri Nov 25 23:59:47 +0000 2016,Camila,,,@Delta should do something! This idiot verbally assaulted these women! https://t.co/nYczpPsTCE
Fri Nov 25 23:59:39 +0000 2016,Chris Redwood,,,@delta ashamed of your tolerance for unruly passengers. #BoycottDelta
Fri Nov 25 23:59:39 +0000 2016,Sara Quah,,,"@yashar @OxideLounge @Delta 
Where do these people come from?"
Fri Nov 25 23:59:38 +0000 2016,well that was fun,,,@JoyAnnReid @yashar @Delta I'll add Delta to my evergrowing boycott list
,,,,
Sat Nov 26 23:59:40 +0000 2016,merry,,,@11AliveNews I guess @Delta should rewrite the behavior manual and retrain employees on what to do this could be deemed a threat to others
Sat Nov 26 23:59:35 +0000 2016,MichÃ¨le,,,@Delta 6'4 Hubby is delighted with the extra legroom. Thank you Delta!#FeelintheLove âù_ï¸è https://t.co/kwwybrMswk
Sat Nov 26 23:59:23 +0000 2016,aka Jill Hearst,,,"#Shame @delta illegally profiling passengers, but not this white man's #misogyny threatening others; only 18%âÄ_ https://t.co/YN70Gd7WU7"
Sat Nov 26 23:59:10 +0000 2016,Kimberly,,,I  usually fly @Delta...... Waiting to see how they handle the recent trump incident before I book holiday fares.
Sat Nov 26 23:59:07 +0000 2016,Jim Walters,,,@yashar @Delta Jesus H. Christ.
