Date,Author,Predicted Sentiment,Observed Sentiment,Text
Tue Nov 22 23:53:51 +0000 2016,Thea McDonald,,,@SouthwestAir Appreciate the kind response. Any refund options or are we out of luck?
Tue Nov 22 23:53:03 +0000 2016,Kiera Bennett,,,"How about for every hour we are delayed we get a free drink coupon? @SouthwestAir , thoughts?"
Tue Nov 22 23:52:22 +0000 2016,Letitia Stellern,,,@SouthwestAir thanks for the reply!
Tue Nov 22 23:49:43 +0000 2016,Sippinonmy40,,,Not feeling the love from @SouthwestAir. I tried using the coupon from their massive outage and it expired. Customer service denied help. _üò¡
Tue Nov 22 23:49:41 +0000 2016,Mike,,,"@SouthwestAir Can't imagine the stress  flt atdnts deal with, but pls let them know their actions &amp; face expression towards customers matter"
Tue Nov 22 23:44:38 +0000 2016,Claudia,,,"To the @SouthwestAir attendant at gate C10 in ATL, your kindness is contagious. Keep spreading joy! _üëè_üè__üëè_üè__üëè_üè_"
Tue Nov 22 23:43:37 +0000 2016,ZoÃ« Schaeffer,,,@Lydschae @SouthwestAir free drinks free drinks!
Tue Nov 22 23:43:35 +0000 2016,Gail,,,@SouthwestAir Sunset over Austin--thanks @SouthwestAir for a smooth flight! https://t.co/4XxWvk9cwC
Tue Nov 22 23:42:51 +0000 2016,Thea McDonald,,,Really feel like the whole no @netflix allowed on @SouthwestAir should be more clear before you waste $8...that small print is too small
Tue Nov 22 23:42:21 +0000 2016,Andrea G,,,@TravelLeisure Add @SouthwestAir to this list- flight attendants spill drinks on passengers &amp; their computers
Tue Nov 22 23:41:50 +0000 2016,Jim Worthen,,,"Love seeing the @SouthwestAir planes now coming into @LBAirport !
International flights next? Yes please.
@LBMayorsOffice"
Tue Nov 22 23:40:24 +0000 2016,Susan Enlow,,,@SouthwestAir I'm bringing a wheelchair to the airport. Do I need to check it at curbside or can that be done at the gate?
Tue Nov 22 23:38:20 +0000 2016,Jay Simmons,,,Landing DAL on SWA. Beautiful evening. @SouthwestAir  #nofilter https://t.co/cIIXaaNb7E
Tue Nov 22 23:38:16 +0000 2016,Travis,,,Just booked a couple of trips in January. I'll be flying @SouthwestAir
Tue Nov 22 23:35:30 +0000 2016,Tyler Mahr,,,@SouthwestAir has the absolute best employees. Thanks for making travel so much more enjoyable
Tue Nov 22 23:35:09 +0000 2016,Hasan Hester Hameedâô¡,,,@ShaimaaEissa @SouthwestAir thought you were aleyna for a second _üòú_üòÇ_üòÇ_üòÇ
Tue Nov 22 23:32:24 +0000 2016,Stephanie,,,Companies who follow through with correcting issues will always have my business. Thanks @SouthwestAir for taking care of my WIFI issue!
