Date,Author,Predicted Sentiment,Observed Sentiment,Text
Tue Nov 22 23:59:56 +0000 2016,lindsay paige,,,".@united great, I have global entry. Many people who got their bags from the baggage claim before me did not. GE is before bag claim..."
Tue Nov 22 23:57:54 +0000 2016,angsta,,,ahhhh thank you @united ! just got the news that i am a winner in the billion mile giveaway! _üôã_üè»_üôã_üè»
Tue Nov 22 23:57:09 +0000 2016,Pam,,,@JonahNRO @united Don't say that! I fly United tomorrow.
Tue Nov 22 23:55:06 +0000 2016,Isaac Rosenberg,,,Wow this @united flight is so hot _üòí_üòÖ
Tue Nov 22 23:55:05 +0000 2016,Hamee (Choi) Ha,,,@united Are you joking? Do something about it right now and compensate for all the wasted time!!!!
,,,,
Wed Nov 23 23:59:37 +0000 2016,Tatjana Vejnovic,,,"@united Well, it's what happened. Wasn't even offered an alternative, just given attitude."
Wed Nov 23 23:57:26 +0000 2016,Christabel Goh,,,why must you stress me like this @united
Wed Nov 23 23:54:42 +0000 2016,andy welch,,,@united 5.5 hours and still on hold! You cancelled my 16 yr old off our family trip to Israel 12 days after ticketing and confirming
Wed Nov 23 23:52:25 +0000 2016,jenna pfeifer,,,@united rudest ticket agents ever. Where's your thanksgiving spirit? Guess I know a few ppl on the naughty list this year.
Wed Nov 23 23:52:24 +0000 2016,Mike Caprio,,,"Home! #Thankful @united (@ Newark Liberty International Airport in Newark, NJ) https://t.co/aR1WTcHAnO"
,,,,
Thu Nov 24 23:56:56 +0000 2016,Dave,,,"3+ delays - plane switch = on time departure, + BIG tailwind -&gt; arrive in DSM 30 min early.  Great job &amp; thanks @united 4590."
Thu Nov 24 23:52:48 +0000 2016,Jahanzeb M. Hashmi,,,@united I need to call your customer service rep at Chicago (ORD). Kindly let me know the number
Thu Nov 24 23:52:37 +0000 2016,Raising Hale Ranch,,,Seriously @united ? You need to reconsider your children board early policy. Your 1K customers don't like it.
Thu Nov 24 23:50:03 +0000 2016,Willa Pearl Hahn,,,@united yes! A free rental car or another flight back to Albany before tomorrow.
Thu Nov 24 23:45:42 +0000 2016,Willa Pearl Hahn,,,"Thanks for nothing, @united."
,,,,
Fri Nov 25 23:59:23 +0000 2016,Colleen,,,"@united  Originally, supposed to leave Hong Kong. Got Diverted. Latest I heard, it was in San Fran coming into ORD. Where is this flight?"
Fri Nov 25 23:57:09 +0000 2016,Brian,,,I've been a loyal Conntinental/@united freq flyer 9+ years. Each year it's harder to explain why! #unitedair #unitedAIRLINES #mileageplus
Fri Nov 25 23:54:47 +0000 2016,James D. Weston II,,,@united Happy Thanksgiving https://t.co/ah0QafFR3q #United employee
Fri Nov 25 23:49:46 +0000 2016,Gary Brotman,,,@united at at point do you just call it?
Fri Nov 25 23:49:03 +0000 2016,joseph martins,,,Now I understand why some colleagues have switched to @delta for international travel. They weren't kidding that @united just doesn't care
,,,,
Sat Nov 26 23:59:59 +0000 2016,Ms. Marfinkle,,,@united We have limited supplies and there's no place to get diapers if we run out!
Sat Nov 26 23:59:50 +0000 2016,Adriana Solis,,,"@united second time in less than a month that the flight MTY to IAH ""6pm"" has been delayed not just minutes last time 2 hours."
Sat Nov 26 23:59:19 +0000 2016,Mike Dehnke,,,@united no there isn't. putting a plane overweight when it isn't full makes 0 sense. literally the most bologna delay I have ever heard of
Sat Nov 26 23:58:50 +0000 2016,Smruti Ranjan,,,@united kp all UA flights up 2 date. De boarding from a flight for maintenance is not a good exp . Ds z my 2nd flight to GVA ds yr delayed
Sat Nov 26 23:58:25 +0000 2016,Ms. Marfinkle,,,@united There are no food options available at MCI except Starbucks and we're traveling with a nursing baby.
