Date,Author,Predicted Sentiment,Observed Sentiment,Text
Tue Nov 22 04:21:48 +0000 2016,Nathan West,,,Let @SenThomTillis know about your #tsa experience this #thanksgiving @Delta @USAirways @Allegiant @VirginAmerica‰€_ https://t.co/IT9pmPboJz
,,,,
Wed Nov 23 21:47:53 +0000 2016,BMK,,,"Onboard a @USAirways, ehh @AmericanAir A321. #avgeek @Reagan_Airport DCA --&gt; @PHXSkyHarbor PHX https://t.co/XXmeN1pTQk"
,,,,
Thu Nov 24 14:34:34 +0000 2016,JoÌ£o JosÌ© Forni,,,"@oRafaelPorto AlÌ©m de ""Os 33"", sobre mineiros chilenos, hÌÁ filme em cartaz s/vazamento da BP. Agora este s/acidente da @USAirways. Vale ver."
Thu Nov 24 01:00:40 +0000 2016,Vinny Price,,,"Travelers care about luggage, May pay fee &gt; @TheTileApp @usairways @emirates @aircanada @JAL_Official_jp @americanair @katzmanb @pdonnelly01"
,,,,
Fri Nov 25 20:33:16 +0000 2016,Daniel Geary,,,@AKGrown12 https://t.co/RH3shz1JM5 @ShaunKing @Delta @SouthwestAir @JetBlue @united @VirginAmerica @AmericanAir @USAirways @Allegiant
Fri Nov 25 16:10:06 +0000 2016,Erikson Young,,,"@USAirways Great book shared by retired pilot Sully. Q: Are First Officer Jeff Skiles, flight attendants Doreen, Do‰€_ https://t.co/p56ch5hVvp"
Fri Nov 25 13:13:46 +0000 2016,GenKnoxx sez No Hate,,,What airline? Actually we can put them all on notice. #nohateplease @SouthwestAir @AlaskaAir @Delta @united‰€_ https://t.co/5McaaxsO4X
Fri Nov 25 08:08:57 +0000 2016,Richard Maslen ‰œˆ,,,The end of an era in #USA air travel as @AmericanAir completes rebranding and painting of last of the @USAirways ma‰€_ https://t.co/n6q3l31MXZ
Fri Nov 25 07:01:33 +0000 2016,CondoBearGuy,,,"The beauty of US Airways is gone, @AmericanAir @USAirways , she'll be forever missed by @Condoguyz - many flights t‰€_ https://t.co/DomnAtk7yx"
,,,,
Sat Nov 26 18:07:09 +0000 2016,US Air News,,,Arizona court says @USairways gets $586 from 2009 Tempe cable cut - https://t.co/6kxTTTj3vP : https://t.co/FHZpaM48NB
Sat Nov 26 16:30:37 +0000 2016,Jay,,,@JetBlue @USAirways @AmericanAir @SouthwestAir this is the perfect time to have a sensitivity training with your teams. Dont be you know who
Sat Nov 26 01:12:07 +0000 2016,AA News,,,State court says phone company free from paying losses to @USairways - https://t.co/o1x4ndHzHD : https://t.co/bdeMGc4G6h
