Date,Author,Predicted Sentiment,Observed Sentiment,Text
Tue Nov 22 23:54:52 +0000 2016,Sarah Urbonas,,,Things that are as lost as my suitcase on @VirginAmerica: America's dignity.
Tue Nov 22 23:46:45 +0000 2016,Sarah Urbonas,,,.@JetBlue I'm sorry I ever left you for @VirginAmerica. You're much more experienced in handling my needs. #Hour5OfMissingBaggage
Tue Nov 22 23:37:44 +0000 2016,Sarah Urbonas,,,Usually it's the Virgin that gets screwed. But not when you fly @VirginAmerica!
Tue Nov 22 23:37:21 +0000 2016,Sarah Urbonas,,,.@VirginAmerica You could find my luggage &amp; stop replying w canned tweets. As you can see there's plenty of originality w a name like Virgin
Tue Nov 22 23:33:56 +0000 2016,Sarah Urbonas,,,"Rolling out the big puns until @VirginAmerica can figure out where they ""misplaced"" my gigantic suitcase. Suggestions welcome."
Tue Nov 22 23:32:01 +0000 2016,Sarah Urbonas,,,Virgin (n): One with no baggage. Including mine. @VirginAmerica
Tue Nov 22 23:29:10 +0000 2016,Sarah Urbonas,,,.@VirginAmerica lost it. As in my luggage. And my business.
Tue Nov 22 23:27:03 +0000 2016,Sarah Urbonas,,,Why fly with someone who won't go all the way? @VirginAmerica #Hour5OfMissingBaggage
Tue Nov 22 23:19:26 +0000 2016,Mish Matheus,,,"#Protip: you can get @VirginAmerica miles by riding @uber. Thanks, @jayzalowitz! https://t.co/Vr80sV3Z00 #Party"
Tue Nov 22 22:59:47 +0000 2016,Carlos Gil âö¡ï¸è,,,@surbonas @dfibkitty @VirginAmerica ask them to give you a credit to buy clothes and toiletries while they locate your luggage
Tue Nov 22 22:47:08 +0000 2016,ãÖ_,,,@TrashTweetsOnly @VirginAmerica LMFAOOOOOOOOO
Tue Nov 22 22:41:59 +0000 2016,Â¯\_(ãÉÑ)_/Â¯,,,@VirginAmerica @jabooindacut
Tue Nov 22 22:38:52 +0000 2016,Sarah Urbonas,,,"Suitcase still MIA. 2 hours &amp; counting with no response. Gee, Virgin, is it your first time? @VirginAmerica"
Tue Nov 22 22:25:42 +0000 2016,Peter Guagenti,,,@VirginAmerica There's a reply in your inbox.
Tue Nov 22 22:23:33 +0000 2016,Â¯\_(ãÉÑ)_/Â¯,,,@jabooindacut @VirginAmerica I hope they respond _üò¢
Tue Nov 22 22:22:43 +0000 2016,ãÖ_,,,@VirginAmerica hey can you please wish my friend Cody @TrashTweetsOnly a happy birthday he is a true pure
Tue Nov 22 22:12:47 +0000 2016,Jacob Theobald,,,@VirginAmerica who to contact about issue with mobile app?
Tue Nov 22 21:54:05 +0000 2016,swagatha christie,,,Everyone should be like @VirginAmerica and have wifi and chargers at every seat _üíº
Tue Nov 22 21:49:05 +0000 2016,Peter Guagenti,,,@VirginAmerica Your customer svc staff is terrible and not at all helpful. Guess years of loyalty and Gold status is worth nothing? #FAIL
Tue Nov 22 21:39:03 +0000 2016,Sarah Urbonas,,,.@VirginAmerica how is this supposed to help? My luggage is missing &amp; untrackable.
,,,,
Wed Nov 23 23:36:45 +0000 2016,Farah Chatila,,,"But the fun part is, we are playing the penny game! _üòÇWay to keep us entertained @VirginAmerica!"
Wed Nov 23 23:30:18 +0000 2016,Farah Chatila,,,My flight is delayed because the inflight crew is stuck in traffic. _üò_That's sadly funny! #LGA #PlanAhead #thanksgivingeve @VirginAmerica
Wed Nov 23 23:29:47 +0000 2016,Napolis,,,"@VirginAmerica 5hours of driving just so we have to wait for your flight attendants,  enjoying new york is more important than our flight!"
Wed Nov 23 23:13:15 +0000 2016,Venantius,,,@VirginAmerica How do I file a ticket to get reimbursed for having another passenger steal something from me?
Wed Nov 23 23:03:58 +0000 2016,Napolis,,,@VirginAmerica you guys should seriously hire some more quality workers.
Wed Nov 23 22:23:26 +0000 2016,smol bean (misty),,,@VirginAmerica @Ella_Purnell this is a new form of accomplishment
Wed Nov 23 22:17:41 +0000 2016,Stephanie Guzzardo,,,I'm so sad. My @VirginAmerica flight doesn't have the fruit and cheese plate anymore _üò_ the rest of the food is so lame for a long flight _üò©
Wed Nov 23 22:14:52 +0000 2016,Evelyn Margot,,,@VirginAmerica moms medicine is on route to her. Thank you v much for your help and responsiveness _üôå_üè_âù_ï¸è
Wed Nov 23 22:06:28 +0000 2016,Chris McGinnis,,,CUTE ALERT! @VirginAmerica's 7th Operation Chihuahua takes off Monday from @FlySFO #TravelSkills https://t.co/quNHFA8S5g
Wed Nov 23 22:02:06 +0000 2016,_üê¶ Tim,,,"Aww, yeah! I'm flying @VirginAmerica to Chicago, IL. https://t.co/itVfkwql7y"
Wed Nov 23 21:54:20 +0000 2016,Asad khan,,,S/o @VirginAmerica for the flight. I'm proud to represent for all virgins out there. I got us.
Wed Nov 23 21:22:56 +0000 2016,Slut4Naps,,,"Ugh, why am I just now trying @VirginAmerica? This is hands down the best domestic first class ever."
Wed Nov 23 21:06:48 +0000 2016,Jonathan Bloom,,,"Music at @VirginAmerica self check-in is ""No Air"" by @JordinSparks. Ya know, just in case the oxygen masks should dâÄ_ https://t.co/7PwzgWOQJh"
Wed Nov 23 20:55:42 +0000 2016,Vladi Semenov,,,"@VirginAmerica its not your fault @orbitz has a horrible process for flight cancelation and rebooking, I'll just book direct next time"
Wed Nov 23 20:54:54 +0000 2016,Steve Hass,,,@jaylynnmitchell @VirginAmerica that's a @TSA question. Did they?
Wed Nov 23 20:44:09 +0000 2016,David Benjamin Kopp,,,new #superfan of @virginamerica thanks to Najet Len and Ivi Montan who hooked me all the way upâÄ_ https://t.co/RDNsTPTEGo
Wed Nov 23 20:44:08 +0000 2016,Gabby,,,When your awesome airline does a half off on premium seats and first class is cheaper than main cabin _üç¸_üç¸ #firsttimeinfirst @VirginAmerica
Wed Nov 23 20:39:20 +0000 2016,Annaya Youkai,,,"Once again, I love @VirginAmerica for getting me to my destination(s) on time with no drama âù_ï¸è"
